順位,乗降客数,駅名,路線名,区分,事業者名,都道府県コード
1,252957,"博多","鹿児島線","ＪＲ","九州旅客鉄道","40"
2,162210,"博多","1号線(空港線)","公営","福岡市","40"
3,148957,"天神","1号線(空港線)","公営","福岡市","40"
4,133696,"西鉄福岡(天神)","天神大牟田線","民営","西日本鉄道","40"
5,99913,"姪浜","1号線(空港線)","公営","福岡市","40"
6,72514,"小倉","鹿児島線","ＪＲ","九州旅客鉄道","40"
7,54647,"福岡空港","1号線(空港線)","公営","福岡市","40"
8,49192,"西新","1号線(空港線)","公営","福岡市","40"
9,45912,"博多","山陽新幹線","新幹線","西日本旅客鉄道","40"
10,40912,"薬院","天神大牟田線","民営","西日本鉄道","40"
11,38465,"中洲川端","1号線(空港線)","公営","福岡市","40"
12,36635,"大橋","天神大牟田線","民営","西日本鉄道","40"
13,33859,"西鉄久留米","天神大牟田線","民営","西日本鉄道","40"
14,32937,"赤坂","1号線(空港線)","公営","福岡市","40"
15,31523,"折尾","鹿児島線","ＪＲ","九州旅客鉄道","40"
16,31058,"黒崎","鹿児島線","ＪＲ","九州旅客鉄道","40"
17,30201,"天神南","3号線(七隈線)","公営","福岡市","40"
18,30073,"吉塚","鹿児島線","ＪＲ","九州旅客鉄道","40"
19,25434,"千早","鹿児島線","ＪＲ","九州旅客鉄道","40"
20,25321,"香椎","鹿児島線","ＪＲ","九州旅客鉄道","40"
21,24714,"藤崎","1号線(空港線)","公営","福岡市","40"
22,24432,"小倉","山陽新幹線","新幹線","西日本旅客鉄道","40"
23,23542,"唐人町","1号線(空港線)","公営","福岡市","40"
24,23497,"福工大前","鹿児島線","ＪＲ","九州旅客鉄道","40"
25,23356,"東比恵","1号線(空港線)","公営","福岡市","40"
26,22749,"井尻","天神大牟田線","民営","西日本鉄道","40"
27,22162,"大濠公園","1号線(空港線)","公営","福岡市","40"
28,21944,"貝塚","2号線(箱崎線)","公営","福岡市","40"
29,21703,"春日原","天神大牟田線","民営","西日本鉄道","40"
30,21467,"西鉄二日市","天神大牟田線","民営","西日本鉄道","40"
31,20535,"南福岡","鹿児島線","ＪＲ","九州旅客鉄道","40"
32,20297,"高宮","天神大牟田線","民営","西日本鉄道","40"
33,19330,"戸畑","鹿児島線","ＪＲ","九州旅客鉄道","40"
34,19276,"薬院","3号線(七隈線)","公営","福岡市","40"
35,18893,"九大学研都市","筑肥線","ＪＲ","九州旅客鉄道","40"
36,18230,"小倉","小倉線","三セク","北九州高速鉄道","40"
37,17975,"赤間","鹿児島線","ＪＲ","九州旅客鉄道","40"
38,17750,"福間","鹿児島線","ＪＲ","九州旅客鉄道","40"
39,17078,"竹下","鹿児島線","ＪＲ","九州旅客鉄道","40"
40,16760,"室見","1号線(空港線)","公営","福岡市","40"
41,16702,"大野城","鹿児島線","ＪＲ","九州旅客鉄道","40"
42,16195,"貝塚","貝塚線","民営","西日本鉄道","40"
43,16141,"久留米","鹿児島線","ＪＲ","九州旅客鉄道","40"
44,15772,"祇園","1号線(空港線)","公営","福岡市","40"
45,15664,"博多南","博多南線","ＪＲ","西日本旅客鉄道","40"
46,15618,"下大利","天神大牟田線","民営","西日本鉄道","40"
47,15324,"九産大前","鹿児島線","ＪＲ","九州旅客鉄道","40"
48,15151,"二日市","鹿児島線","ＪＲ","九州旅客鉄道","40"
49,15118,"筑前前原","筑肥線","ＪＲ","九州旅客鉄道","40"
