Station,Station Latitude,Station Longitude,Daily Passengers,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Subcategory
Nakasukawabata,33.59498333333334,130.40660277777778,38465,大原簿記情報専門学校 福岡校,33.595307012237335,130.40748990109813,Education,Trade School
Nakasukawabata,33.59498333333334,130.40660277777778,38465,ハレンチ女学園,33.59110297280157,130.40866947046382,Education,Other Nightlife
Tenjinminami,33.588197222222234,130.40172777777778,30201,九州工業大学 サテライトキャンパス福岡天神,33.59009,130.4,Education,University
Tenjinminami,33.588197222222234,130.40172777777778,30201,英進館 天神本館,33.586765233100174,130.4010391791536,Education,School
Tenjinminami,33.588197222222234,130.40172777777778,30201,EF Education First,33.587599,130.396708,Education,General College & University
Tenjinminami,33.588197222222234,130.40172777777778,30201,デジタルハリウッド福岡校,33.5900977991461,130.40006660095142,Education,Trade School
Tenjinminami,33.588197222222234,130.40172777777778,30201,資格の学校 TAC 福岡校,33.59225612491254,130.40137934410401,Education,Trade School
NishitetsuFukuokaTenjin,33.58877777777778,130.39988888888888,133696,九州工業大学 サテライトキャンパス福岡天神,33.59009,130.4,Education,University
NishitetsuFukuokaTenjin,33.58877777777778,130.39988888888888,133696,EF Education First,33.587599,130.396708,Education,General College & University
NishitetsuFukuokaTenjin,33.58877777777778,130.39988888888888,133696,英進館 天神本館,33.586765233100174,130.4010391791536,Education,School
NishitetsuFukuokaTenjin,33.58877777777778,130.39988888888888,133696,福岡女学院 天神サテライト,33.590850794083735,130.3971066789568,Education,Community College
NishitetsuFukuokaTenjin,33.58877777777778,130.39988888888888,133696,デジタルハリウッド福岡校,33.5900977991461,130.40006660095142,Education,Trade School
NishitetsuFukuokaTenjin,33.58877777777778,130.39988888888888,133696,資格の学校 TAC 福岡校,33.59225612491254,130.40137934410401,Education,Trade School
Tenjin,33.59148888888889,130.39935833333334,148957,九州工業大学 サテライトキャンパス福岡天神,33.59009,130.4,Education,University
Tenjin,33.59148888888889,130.39935833333334,148957,福岡女学院 天神サテライト,33.590850794083735,130.3971066789568,Education,Community College
Tenjin,33.59148888888889,130.39935833333334,148957,EF Education First,33.587599,130.396708,Education,General College & University
Tenjin,33.59148888888889,130.39935833333334,148957,デジタルハリウッド福岡校,33.5900977991461,130.40006660095142,Education,Trade School
Tenjin,33.59148888888889,130.39935833333334,148957,資格の学校 TAC 福岡校,33.59225612491254,130.40137934410401,Education,Trade School
Akasaka,33.58911666666667,130.39085,32937,アンスティチュ・フランセ九州,33.58928707296947,130.39119747866866,Education,Community College
Akasaka,33.58911666666667,130.39085,32937,駿台 福岡校,33.591189167551434,130.39360374212265,Education,General College & University
Akasaka,33.58911666666667,130.39085,32937,四谷学院 福岡天神校,33.58809705296782,130.39380592544836,Education,Student Center
Akasaka,33.58911666666667,130.39085,32937,専門学校ESPエンタテインメント福岡,33.591798,130.388628,Education,Trade School
Watanabedori,33.58396944444445,130.40484444444445,7966,星槎大学福岡中央学習センター,33.58048090996803,130.40601167316134,Education,University
